
""
"Kontostand vom 05.02.2024:";"10000 EUR"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
1999-10-30;1984-06-11;Abgelehnt;Leopoldine Stroh MBA.;Otto Hövel-Mies;Recusandae ut modi possimus tempora itaque.;Überweisung;DE98158335970264303516;403,01;813497003880058559;951093534051895029;964419722095804025
2009-05-19;2020-05-22;Abgelehnt;Ali Putz-Hübel;Muharrem Oderwald;Aspernatur doloribus voluptas rerum earum quo quia autem.;Lastschrift;DE87446503864473840781;271,24;803338312930281425;201525893945668783;663276512488734075
1988-05-06;1982-02-10;Abgelehnt;Mirko Knappe;Tim Werner;Cumque fugiat rerum ut aliquid exercitationem.;Lastschrift;DE10639695990703999337;634,43;198012337497572406;601548320499643466;129608569001974333
1978-07-21;2006-03-22;Erfolgreich;Vera Gunpf B.Eng.;Roberto Karz;Voluptatum commodi tempore eaque voluptas doloribus.;Überweisung;DE97515033717493963036;-991,16;241633572624343548;130019587817942319;741607561862515544
1996-07-24;2003-09-04;Erfolgreich;Univ.Prof. Kaspar Weimer B.A.;Madlen Etzler;Adipisci est placeat ex natus minus hic.;Lastschrift;DE81411741145021035245;-464,28;409637802611290698;617678314602767901;741581051859910927
1984-10-06;2020-03-11;Erfolgreich;Silvia Kranz;Carolin Rohleder;Hic ab facere at.;Lastschrift;DE41757055507142608122;-627,72;274376964366967868;671306171426540718;671011130942002786
1987-08-11;2014-02-07;Erfolgreich;Aziz Mentzel;Ferdi Buchholz B.Sc.;Ducimus expedita error sequi.;Überweisung;DE39465021397965172479;481,79;567337733531883088;096917592633966647;437663318962315144
1983-06-10;1970-09-20;Abgelehnt;Meike Mielcarek;Carmen Benthin MBA.;Nulla consectetur soluta quam.;Überweisung;DE79926582094320702999;12,7;001291628617812337;063796746593280474;931410108438946818
1999-02-11;2008-04-29;Abgelehnt;Silva Adler-Lange;Dimitri Hecker;Architecto minima magnam.;Lastschrift;DE46568164562179601428;-406,81;313751947017682401;426389466198416892;341596431581823310
1985-10-20;2018-02-03;Erfolgreich;Erica Ullrich B.Eng.;Drago Kraushaar B.A.;Assumenda magni vitae officia.;Lastschrift;DE56784031887221551268;-328,28;426627739308828841;961487358384669252;652644990903956264
1974-03-07;2001-07-26;Abgelehnt;Ing. Janette Löwer B.Eng.;Meinrad Gröttner;Esse provident odio eaque dolores provident dolorem tempore.;Überweisung;DE75549476666894183274;771,06;612608582880085356;905231398571018406;649659204548584367
1980-05-19;1989-04-12;Erfolgreich;Nick Zirme-Stahr;Cemil Koch B.Sc.;Assumenda earum explicabo repellendus laudantium dolor dolore.;Überweisung;DE09017507522183928666;356,11;256322517170216183;731552367260788240;058800795891370893
1979-07-28;2013-12-08;Abgelehnt;Dipl.-Ing. Meta Klapp B.Sc.;Mareike Linke B.Sc.;Pariatur quibusdam error vel necessitatibus maxime.;Überweisung;DE73002483931658454712;-235,94;077602327515258178;546067688678225977;948108951518228623
1985-06-18;2022-08-21;Abgelehnt;Constanze Kade;Prof. Anselm Albers B.Eng.;Perferendis cumque voluptas vel repudiandae illo.;Lastschrift;DE33443402529776665750;-811,71;419568588468917591;879181686645709459;734430518520326231
