
""
"Kontostand vom 05.02.2024:";"10000 EUR"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
2006-06-12;1977-03-31;Abgelehnt;Petar Stey;Justine Beier B.Eng.;In amet optio.;Lastschrift;DE19124564811030981280;-292,93;880701412998134663;029590555435386926;982381742067945510
2011-12-26;2022-08-07;Abgelehnt;Anni Huhn-Eimer;Joseph Bolnbach-Stoll;Ex repellendus corrupti fugit dignissimos.;Überweisung;DE20420607505104515776;-889,76;236838670512209905;175731601614839834;005776928864224627
1980-12-15;1985-07-04;Abgelehnt;Anne-Katrin Ullmann-Reichmann;Birgitta Beer;Quas iste labore impedit distinctio.;Überweisung;DE57950898517583254334;395,88;529579282148188543;690546770402580425;793760047427241754
1981-08-25;1992-10-20;Abgelehnt;Alwine Mühle-Eberth;Carina Bien;Consequatur voluptatem architecto.;Überweisung;DE52424758601550693051;117,77;471125532193757315;750674929254860779;661817266593691146
1987-03-14;1975-02-10;Erfolgreich;Dominic Rose;Samuel Cichorius;Eum earum placeat adipisci.;Überweisung;DE80893153869159886273;-716,31;988911521726468722;301279149824209994;789417013462466332
2010-02-27;2005-06-26;Erfolgreich;Dr. Margitta Striebitz;Romana Henschel-Jäkel;Deleniti eum nam blanditiis veniam quos.;Lastschrift;DE39666126684007773655;838,38;603329351720048096;641315624023354444;679540671140755712
1972-04-10;2022-01-24;Erfolgreich;Jurij Rosemann;Ing. Friedhelm Pergande B.Sc.;Provident aliquid aperiam sequi.;Lastschrift;DE78341441446529973988;572,41;882162871019882500;448419257470740955;544466493720620028
2014-12-12;2001-03-30;Abgelehnt;Anett Paffrath;Dipl.-Ing. Birgitta Henk B.Sc.;Minus incidunt sint distinctio quo molestias nesciunt voluptatem.;Lastschrift;DE92928504374822210335;388,13;670860547222568297;088458329224815889;806072037309545955
2005-06-04;1972-02-18;Abgelehnt;Hanspeter Dehmel;Knud Birnbaum;Dolorem nihil atque veniam.;Überweisung;DE92706329289994032933;237,1;981261864016144074;406305464295111462;680176850026526182
2003-09-28;1980-11-26;Erfolgreich;Janette Lorch B.Eng.;Rocco Heidrich;Asperiores ea nemo officia.;Überweisung;DE14858358121480491255;-677,04;695323885970181695;906571696527603376;546482984089817854
