"Girokonto";"DE1234567890123456789"
""
"Kontostand vom 14.03.2024:";"7.867,15 €"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"01.01.24";"01.01.24";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+4511,49";"";"";""
"03.01.24";"03.01.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-51,19";"";"";""
"05.01.24";"05.01.24";"Abgeschlossen";"Max Mustermann";"Kinoabend";"Kino";"";"DE4567890123456789012";"-17,35";"";"";""
"08.01.24";"08.01.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-79,80";"";"";""
"09.01.24";"09.01.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-49,38";"";"";""
"12.01.24";"12.01.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-148,83";"";"";""
"14.01.24";"14.01.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-99,12";"";"";""
"15.01.24";"15.01.24";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-39,18";"";"";""
"18.01.24";"18.01.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-52,88";"";"";""
"19.01.24";"19.01.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-108,72";"";"";""
"21.01.24";"21.01.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-96,24";"";"";""
"24.01.24";"24.01.24";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-73,52";"";"";""
"27.01.24";"27.01.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-126,14";"";"";""
"29.01.24";"29.01.24";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-87,03";"";"";""
"01.02.24";"01.02.24";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-82,47";"";"";""
"03.02.24";"03.02.24";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-77,89";"";"";""
"05.03.24";"05.03.24";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+4624,53";"";"";""
"07.03.24";"07.03.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-90,55";"";"";""
"10.03.24";"10.03.24";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-144,91";"";"";""
"11.03.24";"11.03.24";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-75,94";"";"";""
"13.03.24";"13.03.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-194,18";"";"";""
"16.03.24";"16.03.24";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-93,60";"";"";""
"19.03.24";"19.03.24";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-298,16";"";"";""
"20.03.24";"20.03.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-149,12";"";"";""
"22.03.24";"22.03.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-112,78";"";"";""
"23.03.24";"23.03.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-57,31";"";"";""
"25.03.24";"25.03.24";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-11,15";"";"";""
"26.03.24";"26.03.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-139,37";"";"";""
"27.03.24";"27.03.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-100,05";"";"";""
"29.03.24";"29.03.24";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-32,96";"";"";""
"30.03.24";"30.03.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-143,62";"";"";""
"31.03.24";"31.03.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-80,55";"";"";""
"01.05.24";"01.05.24";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+2741,33";"";"";""
"04.05.24";"04.05.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-143,93";"";"";""
"06.05.24";"06.05.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-139,63";"";"";""
"07.05.24";"07.05.24";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-54,40";"";"";""
"10.05.24";"10.05.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-111,15";"";"";""
"11.05.24";"11.05.24";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-94,47";"";"";""
"14.05.24";"14.05.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-100,51";"";"";""
"17.05.24";"17.05.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-106,09";"";"";""
"18.05.24";"18.05.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-108,13";"";"";""
"21.05.24";"21.05.24";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-97,21";"";"";""
"22.05.24";"22.05.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-57,71";"";"";""
"23.05.24";"23.05.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-53,06";"";"";""
"24.05.24";"24.05.24";"Abgeschlossen";"Max Mustermann";"Elektronikartikel";"Elektronik";"";"DE5678901234567890123";"-1628,51";"";"";""
"26.05.24";"26.05.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-57,86";"";"";""
"27.05.24";"27.05.24";"Abgeschlossen";"Max Mustermann";"Kinoabend";"Kino";"";"DE4567890123456789012";"-31,82";"";"";""
"29.05.24";"29.05.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-62,88";"";"";""
"01.07.24";"01.07.24";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+3634,32";"";"";""
"04.07.24";"04.07.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-180,45";"";"";""
"05.07.24";"05.07.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-89,07";"";"";""
"06.07.24";"06.07.24";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-28,47";"";"";""
"09.07.24";"09.07.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-94,25";"";"";""
